"Latest: Time (s)","Latest: Volume (mL)","Latest: GateState 1","Latest: Distance 1 (m)","Latest: Velocity 2 (m/s)","Latest: Acceleration 2 (m/s²)","Latest: GateState 2","Latest: Distance 2 (m)","Latest: Velocity 1 (m/s)","Latest: Acceleration 1 (m/s²)"
12.134262,,1,0,,,,,,
12.151433,,0,,,,,,,
12.17176,,1,0.05,1.27186845032,-3.28209493373,,,,
12.189023,,0,,,,,,,
12.537024,,,,,,1,0,,
12.56041,,,,,,0,,,
12.585359,,,,,,1,0.05,,
12.608824,,,,,,0,,,
12.905256,,1,0.1,0.214750824205,0.399686233151,,,,
12.995295,,0,,,,,,,
13.102046,,1,0.15,,,,,,
13.191826,,0,,,,,,,
